bactrus fl.,Bactrus Fluuius
cesarea in capadocie,Cesarea Ciuitas
cesarea philippi,Cesarea Philippi
transitus hebreorum,Transitus Filiorum Israel
stipa i.,Stipa Insula
hungari g.,Huni Sithe
caspia c.,Caspia Ciuitas
dee fl.,Fluuius De
petaurus fl.,Fluuius Metaurus
dimidia tribus manasse,Dimidia tribus Manasse
india,India
mirabilis i.,Insula Mirabilis
araris fl.,Fluuius Araris
britannia,Brittania 
nicaeas,Niceas
archa noe,Archa Noe
tamar fl.,Fluuius Tamar
cotonare p.,Cotomare Portus
suavia c.,Suauia 
torrens cison,Fluuius Torrens Cison
athos m.,Mons Athlans
mortuum mare,Mare Mortuum
alexandri are,Altars of Alexander
aven fl.,Fluuius Auen
pangaeus m.,Mons Priangeus
ramaca c.,Ramaca Ciuitas
colchorum r.,Colcorum Prouincia
ichene fl.,Fluuius Ene
sefar m.,Mons Sephar
nicaea,Nicea Ciuitas
moin fl.,Fluuius Moin
adria c.,Adria
ticinus fl.,Fluuius Ticinus
abidos c.,Abidos Ciuitas
cristoas,Cristoas Ciuitas 
boetis fl.,Fluuius Boetis
scilla i.,scilla
halasa c.,Hersura
histria,Histria cum Liburnia
liburnia r.,Histria cum Liburnia
tigris fl.,Tigris
benacus lacus,Lacus Bennacus
septem m.,Septem Montes
arabia,Arabica
tize fl.,Fluuius Tize
cicone g.,cicone
nilus,nilus
morinus fl.,Fluuius Morinus
sabrata,Sabrata Ciuitas
tortosa,Tortosa
oliveti m.,Mons Oliueti
hiberis fl.,Fluuius Hiber
arminium,Arminium
wauth fl.,Fluuius Wauth
salze fl.,Fluuius Salze
taurus m.,Mons Taurus
gilead m.,Mons Galaauth
durdan fl.,Fluuius Durdan
adrumetus,adrumetus
mediterraneum mare,Mare Mediteranea
bosphorus,Boffarum Trachius
pindus m.,Mons Findus
polibota,Pobrotta
atlantica d.,Tlantica Deserta
cimericum mare,Cimerisum Mare
nadaver,Naddaber
molans m.,Mons Molans
exe fl.,Fluuius Exe
ligeris fl.,fluuius ligeris
scicia c.,Scicia 
neon i.,Neon Insula
samosaka c.,Samosaka 
cirene,Cirene Ciuitas
alexandria apud babilonia,alexandria civitas
torrens jaboth,Torrens Iaboth
arecusa lacus,Arecusa Lacus
aligardamana promuntorium,Promunctorium Aligardamana
bucefala ,Bucefala 
gaza,Gaza Ciuitas 
corvus fl.,Coruus Fluuius
bethlehem,Bethleem Ciuitas
eunochi sithe g.,Eunochi Sithe
decusa,Decusa
are philenorum,philenorum are
fortunate,Fortunate Insulee
sauromathe sithe g.,Sauromathe Sithe
monasteria sancti antonii,Monasteria Sancti Antonii
bencur,Bencur
suffetula,Suffetula Ciuitas
helles fl.,Fluuius Helles
oxus fl.,Oxus Fluuius
ossa m.,Mons Offa
ariobaranes m.,Montes Ariobarzones
ecusium,Ecusium Ciuitas
seres c.,Seres Ciuitas
ignium c.,Ygnium et Tipassa
tipassa c.,tipassa
cadrusium c.,Cadrusima Ciuitas
liburnice i.,Insulee Liburnice
susa fl.,Fluuius Susa
jordanis fl.,Iordan Fluuius
marmini,Marmini Ethiopes
trogodite,Trocoditee
berenice in egypt c.,Ciuitas Berenice
chusta fl.,Fluuius Chusta
protholomaida,Protholomaida Ceutria
ceutria,Protholomaida Ceutria
cannar m.,Mons Cannar
mauritania tingitana,Mauritania Tingitana
retia maior,Recia Maior
dublina,Ciuitas Diuelin
cana,Cana Galilee
tripolis c.,Tripolis Ciuitas
hispania citerior,Hispania Citerior
savus fl.,Fluuius Sauus 
libani m.,Mons Libanus
nuchul fl.,Nuchul Fluuius
caracanus c.,Carcanus Ciuitas 
retia minor,Recia Minor
septimana c.,Septimana Ciuitas
mauritania sitifensis,Mauritania Sitifensis
sirtinice i.,Insula Sirtinice
ilra fl.,Fluuius Ilra
castra alexandri,Castra Alexandri Magni
hecclarum fl.,Fluuius Hecclarum
cassius m.,Mons Cassius
castra nouo,Castra Nouo
nuam c.,Nuam Ciuitatem
avis phenix,Phenix auis
colonia,Agrippina Colonia
sienee g.,Sienee gentes
phenicia,Phenicis Prouincia
protholomayda,Protholomayda Ciuitas
cilicinus s.,Cilicinus Sinus
boemia,sala Boemie
aneso fl.,Aneso Fluuius 
babilonia egyptus c.,Insula Babilonia Ciuitas
leptis,Leptis Magna
lidda m.,Mons Lidda 
boemaron fl.,Fluuius Boemaron
eraclea in asia minor,eraclea
eraclea in boeotia,eraclea
nubie p.,portee nibie
sitifis c.,Sitiphi Metropolis
bononia italia,Bononia crassa
arietum i.,Insula Arietum
magdalus c.,Magdalus Ciuitas
oder fl.,Fluuius Ou
isera fl.,Fluuius Caura 
nubie m.,Montes Nibie
dalida fl.,Fluuius Dalida
medey fl.,Fluuius Medey
indie m.,Montes Yndie
abana fl.,Abana Fluuius
gazera c.,Gazera Ciuitas
oxus fl. ostia,Ostia Oxi Fluminis
boreus fl.,Fluuius Boreus
zebulon,Zabulon et Ysacar
isachar,Zabulon et Ysacar
carpatos i.,Carpatas Insula
eufrates fl.,Eufrates Fluuius
sancti andree,Sanctus Andreas
cidera fl.,Fluuius Cidera
crise,Crise Insula
lunacus fl.,Fluuius Lunacus
alopecia c.,Allopeccea Ciuitas
alani g.,Alani Sithe
parisius,Parisius Ciuitas
ascalon,Ascalon Ciuitas
herremus scetis,Herremus Sithe Palme
cardia c.,Cardia Ciuitas
sancti johanni,Ciuitas Sancti Iohannis
fistula fl.,Fluuius Fistula
calvarie m.,Mons Caluarie
effraim m.,Mons Effraim
tlede fl.,Fluuius Tlede
baleares i.,Baleares Insule
egyptus,egitum
albatia i.,Albatia Insula
scena i.,Scena Insula
arsinoe,Arsuoe Ciuitas
ebureda c.,Ebureda Ciuitas
adriaticus s.,Adriaticus sinus
dan fons,Fons Dan
catapas,Catapas colonia
tagus fl.,Fluuius Tagus
leonum mare,Mare Leonum
idi m.,Mons Yda
nineveh,Ciuitas Niniuee
aureus m.,Montes Aureos
aurasium m.,Montes Euzaree
gebal m.,Mons Gebal
horeb m.,Mons Oreb
pactolus fl.,Fluuius Pactalus
jericho,civitatem iericho
muneus fl.,fluiuus muneus
tusca fl.,Fluuius Musica
salum fl.,Fluuius Salum
helicon m.,Mons Elicon
accon,actua civitas
arabica d.,arabica deserta
athena,Achenus Ciuitas
gallia belgica,Gallia Belgica
libia cirenensis,Libia Cirenensis
euxinum mare,Euxinum Mare
augee m.,Montes Augee
gallia celtica,Gallia Celtica 
clarus m.,Clarus Mons
craphis regnum,rengnum craphis
laureum p.,Laureum Portus
zimarim portus,Zimarim Portus
diomedis i.,Insula Diomedis
cidnus fl.,Fluuius Cidnus
samara m.,Promunctorium Samara
rodanus fl.,Fluuius Rodanus
canea fl.,Fluuius Canea
cuna fl.,Fluuius Cuna
chalearsus lacus,Lacus Calearsus 
dorius fl.,Fluuius Dorius
labro prominente g.,Gens labro prominenti
eles fl.,Fluuius Eles
padus fl.,fluuius padus
etham c.,etham civitas
metima,Metima Ciuitas
didime i.,Insula Didimee
patalus p.,Portus Patalus
paradisus,Paradisi Porte
memphis,Memphis Ciuitas 
avium i.,Insula Auium
sancti davi,Sanctus Daui
corcina g.,Gens Corcina
adanum i.,Adanum Insula
sabaria sancti martini,Sabaria Sancti Martini
caspium mare,Mare Caspium
seyr m.,Mons Seir
urta c.,Vrta Ciuitas
livoris m.,Mons Liuoris
astoborta fl.,Fluuius Astoborta
clipea,Clippeas Ciuitas
alpes gothice,Alpes Gottice
africa terminus,Terminus Affrice
sithe catharum,Catharum Sithe
hesperidum i.,Insule Hesperidum
pelorum m.,Mons Pelorum
caspie p.,Portee Caspie
arafaxat fl.,Fluuius Arfaxat
wisara fl.,Fluuius Wisara
ossa m.,Montes Osco
ora conserta g.,Gens ore concreto
babilonia r.,Terra Babilonie
sigga m.,Mons Sigga
nisibi,Nisibi Ciuitas
lates fl.,Fluuius Lates
meotides paludes,Fluuius Meotides
appanina,Appanina Ciuitas
arelatum,Arelas Ciuitas
boreus promuntorium,Promunctorium Boreum
ansa fl.,Fluuius Ansa
weser fl.,fluuius wisara
miopar i.,Miopar Insula
sina m.,Mons Sinay
sabrina fl.,Sabrina Fluuius
termineus s.,Termineus Sinus
sarta fl.,Fluuius Sarta
marna fl.,Fluuius Marna
narbonensis r.,Narbona
aquitanicus s.,Aquitanicus Sinus
pudpud c.,Pudpud Ciuitas
laudunus,Mons Laudanus
piscaria fl.,Fluuius Piscaria
octogora c.,Octoricirus Ciuitas
russicada c.,Russicada Ciuitas
fialus fons nili,Fialus fons Nili
berenice in libya c.,Berenice Ciuitas
tarus fl.,Fluuius Tarus
curunbi c.,Curunbi Ciuitas
gangines ethiopes,Gangines Ethiope
riphei m.,Riphay Montes
lech fl.,Fluuius Lech
uttica c.,Vttica Ciuitas 
archas c.,Archas Ciuitas
icaria i.,Ucaria Insula
bande fl.,Fluuius Bande
tustrum c.,Ciuitas Tustrum
essedones sithe,Essedones Sithe
nuchus fl.,Fluuius Nuchus
magoma c.,Magoma
pineus fl.,Fluuius Pineus
pamplona,pampilonia
mellila c.,Russaden Ciuitas
colne fl.,Fluuius Colne
horrea josep,Orrea Ioseph
bizacium c.,Bizancium Ciuitas
gaza municipium,Gaza Municipium
sti fl.,Fluuius Sti
calpes m.,Mons Calpel
hydaspis fl.,Ydaspis Fluuius
ardens m.,Mons Ardens
acheron fl.,fluuius achen
apollonia c.,Ciuitas Apollonia
olympus m.,Mons Olimpus
jor fons,Fons Ior
armenia inferior,Armenia Inferior
hebron,Ebron Ciuitas
bethel,Bethel Ciuitas
chooloissime c.,Vrbs Choolissime
pannonia inferior,Pannonia Inferior
ypanis fl.,Fluuius Yppanis
india,yndia
jerusalem,Ciuitas Ierusalem
caucasus m.,Mons Caucasus
thamise fl.,Fluuius Thamise
sirtes maiores,Sirtes Maiores
ganges fl.,ganges fl.
gallia,Gallia
samarcan c.,Samarcan Ciuitas
yler fl.,Fluuius Yler
zeugis r.,Zeugis regio
pathmum m.,Mons Pathmum
parchoatras m.,Montes Parcoatras
decapolis r.,Decapolis regio
cuya c.,Cuya Ciuitas
germania superior,Germania Superior
austronothus m.,Mons Austronothus
hesperus m.,Mons Hesperus
dara fl.,Dara Fluuius
calabria c.,Calabria
mercurii m.,Mons Mercurii
binna m.,Mons Binna
germanicus s.,Sinus Germanicus
sodom c.,Sodom Ciuitas
rem fl.,Fluuius Rem
emisa fl.,Fluuius Emisa
aque tibilitane,Aque Tibilitane
scitotauri sithe,Scitotauri Sithe
tabule testamenti,Tabule Testamenti
fernus fl.,Fluuius Fernus
jovis oraculum,Oraculum Iovis
mester fl.,Fluuius Mester
sochoth,Sochoth Ciuitas
ephesus,ephesus civitas
robasci sithe,robasci sithe
danus fl.,Fluuius Danus
propontis mare,Propontidis Mare
canaria i.,Insule Canaria
saddi m.,Mons Saddi
nitrie m.,Alitrie Mons
burgh in maris,Burgh in maris
tile,tile insula
rupes sarmatharum,Rupes Sarmatharum
ebusus i.,ebos insula
cartago magna,Cartago Magna
dravus fl.,Fluuius Drauus
acrocerauni m.,Montes Acrocerauni
arar fl.,Fluuius Arar
hermus fl.,Fluuius Ermus
avernia r.,Auernia
nicomedia,Nicomadibus Municipium
wid fl.,Fluuius Wid
rahais c.,Rahais Ciuitas
drepanum promuntorium,Drepanum Promunctorium
garonna,Fluuius Gerunda
abidos c.,Siticum Abidos
siticum,Siticum Abidos
cariz m.,Mons Cariz
meros m.,mons meros
meroe i.,Meroe Insula
scena fl.,Fluuius Schene
carmania,Carmania Regio
climax m.,Mons Climax
canopus i.,Canopus insula
sequana fl.,Sequana Fluuius
terracona c.,Terracona Ciuitas
pelorus promuntorium,mons pelorus
abarim m.,Mons Abarim
atlas m.,Mons Authlans
don fl.,Fluuius Don
tafnus c.,Tafnus Ciuitas
melos i.,Melos Insula
triphicia i.,Triphicia Insula
creta,Creta Insula
memarmoli m.,Montes Memarnau
licus i.,Fluuius Licus
delos i.,Delos Insula
alanus fl.,Alanus Fluuius
terracona i.,Terraconta Insula
lak fl.,Fluuius Lak
egyptus,terra egipti
cassica c.,Cassica Ciuitas
antiochia,Antiochia Ciuitas
tapson i.,Tapsus Insula
mosa fl.,Fluuius Mose
medania fl.,Fluuius Medania
acesines fl.,Acesines Fluuius
cyprus,Ciprus Insula
bactria c.,Bactrum Oppidum
thebaida r.,Thebaida Regio
