,syon m.,Mons Syon,iconium c.?,Niacetum,messicus s.,Messicus sinus,apamia,Apamia,athena,Athenis,wintonia,Wintonia,flandria,flandria,libia cirenensis,lybia cirenensis,sirtes minores,sirtes minores,metis,metis
,dan fl.,Fluvius Dan,syracuse,Syracusana,macedonicus s.,Macedonicus sinus,apollonia c.,Apollonia,maronea,Maronea,ephesus,Ephesus,trogodite,trogodite,tripolitana r.,tripolitana,macedonia,macedonia,kersina,kersina
,jor fl.,Ior,elam,Elam,corinthius s.,Chorinthius sinus,appennini m.,Appennini,danubius fl.,Danubius,attica,Attica,gallicus s.,sinus gallicus,mauritania sitifensis,sitifensis,terracona c.,terracona,scenas,stenas
,torrens cison,Torrens Cedron,asia maior,Asia Maior,illiricus s.,Illiricus sinus,apulia,Apulia,alemannia,Alemannia,scridefinnas,Scridefinnas,gloucester,gloucester,zeugis r.,zeugis,hyrcania,hircania,capadocia r.,capadocia
,stannum,Stannum,asia minor,Asia Minor,liburnicus s.,Liburnicus sinus,aquileia,Aquileia,dacia,Dacia,mesopotamia,Mesopotamia,aquilo v.,aquilo,getulia,getulia,madian,madian,siria,siria
,gennesar l.,Stannum Genesar,susa c.?,Susa?,venetia,Venetia,aquilonalis o.,Aquilonalis,gothia,Gothia,hebron,Ebron,gades,gades,numidia,numidia,libia,libia,argus,argos
,mortuum mare,Mare Mortuum,sebastea in palestina,Sebaste,adriaticum mare,Adriaticum,aquis,Aquis,germania,Germania,jericho,Hiericho,aurea i.,aurea insula,tingitania,tingitania,meroe i.,meroe insula,africa,affrica
,euphrates fl.,Euphrates,archimedon,Archademon,egyptium mare,Egyptium mare,aquitania,Aquitania,hunorum g.,Huni,scythia,Scithia,nicomedia,nicomedia,mauritania,mauritania,calearsem lacus,calearsus lacus,lucca,luca
,tigris fl.,Tigris,susis,Dusis,mirteum mare,Mirteum,ara,Ara,norwegia,Norwegia,bulgari g.,Balgarii,persicus s.,sinus persicus,sirtes,syrtes,horrea josep,horrea joseph,hur,hur
,atlas m.,Mons Athlans,nineveh,Nineve,aegeum mare,Egeum,arab,Arab,lazorum g.,Lazorum Gens,cilicia,Cilicia,ethiopia orientalis,ethiopia orientalis,athlanticum o.,occeanum athlanticum,trogodite,trogodite,sardinia,sardinia
,gorgades i.,Gorgades,babilonia c.,Babilonia magna,ionium mare,Ionium,arabia,Arabia,provincia r.,Provincia,londonia,Lundona,italia,ytalia,africa d.,desertis affrice,illiricum r.,illiricus,fatua,fatua
,are liberi,Are Liberi et Columne Erculis,damascus,Damascus,carpatium mare,Carpatum,eudemon,Arabia Eudemon,scythia,Sithia,dacia,Daria,amonite,amon,daci g.,daci,indus fl.,fl. Indus,bulgari g.,bulgarii
,columpne herculis,Are Liberi et Columne Erculis,bethlehem,Bethleem,pelusium s.,Pelusium,arach,Arach,hippodes,Ypopodes,commagena,Commagena,burgundia,burgundia,gothi g.,gothi,ramesses,ramesse,hibernia,hibernia
,are alexandri,Are Alexandri,capernaum,Capharneum,creticum mare,Creticum,aracusia,Aracusia,hyrcania,Hircania,brigantia,Brigantia,scythia inferiore,sithia inferior,alani g.,alani,piperis silva,silva piperis,madian,madian
,arbor solis,Arbor Solis,tarsus,Tharsis,gallicum mare,Gallicum mare,araris fl.,Arar,panotii,Pannothi,mesina,Mesina,wulturnus v.,wulturnus,gepidi g.,gepidi,retia maior,retia maior,lidia,lidia
,arbor lune,Arbor Lune,azotus,Azotus,liguricus s.,Liguricus sinus,ararat m.,Ararath,taurus m.,Mons Taurus,troia,Troia,oxonium,oxonium,rugi g.,rugi,canopus i.,canopus insula,nevirus,nevirus
,turris babilon?,Turris,egyptus,Egypto,gaditanum fretum,Gaditanum fretum,arausica,Arausica,caucasus m.,Mons Caucasus,hiberia,Hiberia,apris i.,apris,bulgari g.,bulgari,hiberis fl.,fl. Hiberus,messana,mesana
,puteus josep,Puteus Josep,alexandria in egyptus c.,Alexandria,gades,Gades,araxis fl.,Araxis,bactria r.,Bactria,dardania,Dardania,damascus,damascus,hunorum g.,huni vel hungari,india,india,hippo diarrtus,uppus diartus
,arumphei,Arumphei,sithe,Glath,ebusus i.,Ebosus insula,archad,Archad,margiana,Margiana,tyle,Tylen,boemia,boemia,hungari g. ,huni vel hungari,parisius,parisius,hellespontus,hellespontus
,albatia i.,Abatiam,memphis,Memphis,sardinia,Sardinia,arcadia,Archadia,tanais fl.,Fl. Tanais,bizacena,Bizacene,patroticanes,patroticanes,nores g.,nores,jericho,jericho,barcinona,basella
,arca noe,Arca Noe,ethiopia,Etheopia,sicilia,Sicilia,archimedon,Archimedon,octogora i.,Octogorra,cinocephales,Cinocephales,fortunate,insule fortunate,sclavi g.,sclavi,asia minor,asia minor,neutoma,neutoma
,larissa,Larissa,nathabres,Nadaber,corcyra,Corcira,archipoleta lacus,Archipoleta,armenia,Armenia,pavia,Pavia,wandalia r.,wandaly,germania,germania,danubius fl.,danubius,therampnus,erampnus
,constantinopolis,Constantinopolis,cilicia,Cilicia,stripodes,Stripodes,ardennes,Ardenna,bithynia,Bithinia,galilea,Galilea,arcadia,arcadia,alemannia,alemannia,mortuum mare,mare mortuum,lugdunum,lugdunum
,galatia,Galatia,ephesus,Ephesiss,liparis i.,Lyparis,arelatum,Arelatum,capadocia r.,Cappadocia,media r.,Media,femine,femine,gallia,gallia,fortunate,insule fortunate,getulia,getulea
,aquitania,Equitania,catania,Cathinia,fenicus i.,Fenicus,argentora,Argentora,caria,Caria,boreus fl.,Boream,picardia,picardia,aquitania,aquitania,ethiope m.,montes ethiopie,ericusa i.,esisua
,normannia,Normannia,capadocia c.,Capadocia,strongile,Strongile,argus,Argus,frigia,Frigia,isachar,Isachar,ioppe,ioppe,hispania,hispania,galilea superior,galilea superior,duremia,duremia
,burgundia,Burgundia,abidos c.,Abidus,festia,Festia,argire,Argyria,galatia,Galacia,sleswic,Sleswic,sirtes minores,cirtes minores,hellespontus,ellesponto,tyrus,tirus,choos,choos
,lugdunum,Lugdunensis,gangara,Gangaria,chios,Chio,arimaspi,Arimaspi,lama,Lama,babilon c.,Babilonia,fenicea,fenicea,moesia,mysia,mesopotamia,mesopotamia,ratisbona,ratispona
,hispania,Hisspania,padaum c.,Padaum,samos i.,Samos,arumphei,Arimfei,licia,Licia,arabia,Arabia,islandia,yslandie,histria,istria,jaboc fl.,jaboc,tornacus,tornacum
,scythia,Citia,europa,Europa,paros,Paros,ariobaranes m.,Ariobaranes,lixus c.,Lyc',ruben,Ruben,histria,histria,tracia r.,tracia,hispania,hispania,desipea,desipea
,sithe,Citha,grecia,Grecia,terasia,Terasia,armenia,Armenia,paflam g.,Paflag,asher,Asser,favonius v.,favonius,macedonia,macedonia,caspie p.,caspie porte,assiria,assiria
,sarmatica r.,Sarmatica,tracia r.,Tracia,calipso i.,Calipso,armenia inferior,Armenia inferior,pamphilia r.,Pamphilia,alexandria in egyptus c.,Alexandria,mesopotamia,mespotanea,arcadia,archadia,island,island,scotia,scocia
,saxonia,Saxonia,boeotia,Boetia,canopus i.,Canopia,armenia superior,Armenia superior,pontica,Pontica,hibernia,Hibernia,germania,germania,hellada,ellada,prochenissa i.,insula prochenissa,austerafricus v.,austeraffricus
,grecia,Grecia,achaia,Achaia,rodus,Rodus,arsinoe,Arsinoe,teutonica,Teutuna,histria,Histria,aradia i.,aradia insula,thessalia,tessalia,rapharrica i.,rapharrica insula,hiberia,thiberia
,achaia,Adchaia,dardania,Dardania,choos,Choos,artobatitis,Artabaite,troia,Troia,taurus m.,Taurini Montes,hermifrodites,hermifrodites,achaia,achaia,roma,roma,metus,metus
,norwegia,Norwegia,dalmatia,Dalmatia,pathmos,Pathmos,avernia r.,Arverni,saxonia,Saxonia,taurus m.,Mons Taurus,libia cirenensis,libia cirensis,dalmaticus s.,sinu dalmatico,constantinopolis,civitas constantinopolis,theode,theode
,ruscia,Ruscite,lacedemonia r.,Lacedomonia,colchos i.,colchos,avernis c.,Arvernus,scanzia,Scanzia,orcades i.,Orcades Insula,nivaria i.,nibaria insula,alpes,alpes,alpes,alpes,augustudunus,augustudunum
,slavenia occidentalis,Sclaveni Occidentalis,thessalia,Thessalia,cyprus,Cyprus,ascalon,Ascalon,sclavi g.,Sclavi,phison,Fison Flumen,adriaticum mare,mare adriticum,campania,campania,acesines fl.,fl. Acesines,luna,luna
,hyperborea g.,Iperboria,thessalia minor,Thessalia Minor,creta,Creta insula,asia,Asia,suevia,Suevia,leones,Leones,ferrea,ferrea insula,apulia,appulia,veneticum mare,mare veneticum,augusta,augusta
,britannia minor,Bri[ttany],italia,Ytalia,ganges fl.,Ganges fl.,asia maior,Asia maior,wandalia r.,Wandali,colchorum r.,Colchorum Provincia,tyrus,tyrus,tuscia,tuscia,persicus s.,sinus persicus,fardin,fardin
,hungaria,Hungaria,apulia,Apulia,indus fl.,fl. Indus,asia minor,Asia minor,cilicia,Cilicia,cartago in africa,Cartago Magna,tuscia,truscia,liguria,liguria,magontia,magontia,candaber,candaber
,macedonia,Macedonia,campania,Campania,tigris fl.,fl. Tigris,asiaticum mare,Asiaticum,siria,Siria,gog et magog,Gog et Magog,hyperborea g.,gens yporborea,italia,italia qui est latium,antiochia,antiochia civitas,autisiodorum,autisiodorum
,dalmatia,Dalmatia,galicia,Galecia,hydaspis fl.,fl. Idaspis,aspides,Aspides,phenicia,Phenicia,getulia,Getule,colax i.,colax,latium,italia qui est latium,media superior,media superior,ilerria,ilerria
,sicilia,Sisilia,hispania,Hyspania,araris fl.,fl. Arbis,assiria,Assyria,palestina,Palestina,armenie m.,Montes Armenie,baleares s.,sinus baliaris,umbria r.,umbria,tile,tiles insula,sclavi g.,sclavi
,creta,Creta,wasconia,Wasconia,euphrates fl.,Fl. Eurfrates,astrixis m.,Astrixus,galilea,Galilea,dimidia tribus manasse,Dimidia tribus Manase,ethiopia i.,ethiopia insula,tirenus s.,tirrenum sinum,pirenei m.,mons pireneus,veredunus,vendum
,calipso i.,Calipso,aquitania,Aquitania,euxis fl.,Fl. Euxis,athandros,Athandros,judea,Iudea,ethiope d.,Ethiopica Deserta,moab,moab,pirenei m.,montes pireneos,cinocephales,cynocephales,sercles,sercles
,mare,Mare,pictavia r.,Picatuia,jordanis fl.,Iordanis,athena,Athene,philistea,Philistea,asia minor,Asia Minor,garamantes,garamantes,alpes gothice,alpes cotia,triton fl. ,fl. Triton,eurusnothus v.,eurusnothus
,barcinona,Barcinona,neustria,Neustria,araxis fl.,fl. Araxis,atlas m.,Athlas m.,idumea,Ydumea,decusa,Decusa Civitas,idumea,ydimea,appennini m.,montem appenninum,mauritania tingitana,mauritania tingintania,noviomus,novicum
,terracona i.,Teracona,francia,Francia,boreus fl.,fl. Boreus,atrebatum,Atrebatum,arabia,Arabia,grifes,Griphorum gens,cornubia,cornubia,longobardia,longobardia,retia minor,retia minor,constantinopolis,constantanopolis
,parisius,Parisius,alemannia,Allemannia,tanais fl.,fl. Tanais,attica,Attica,saba ethiopia,Saba Ethiopie,hesperus m.,Mons Isperus,troga,troga,valeria,valeria,italia,italia,norwegia,noreya
,bolonia ,Bolonia ,saxonia,Saxonia,caligardamana m.,Caligardamana promontorium,avenna m.,Avenna,moab og. basan,Moab Og. Basan,barcinona?,Barcimina Civitas?,jericho,ierico,caligardamana m.,caligardamara,hellespontus,hellespontus,cornicularia,nilaca
,colonia,Colonia,dacia,Dacia,maleus m.,mons Maleus,augusta,Augusta,thalassa,Thalassar,libia ethiopes,Libia Ethiopum,jerusalem,ierusalem,samara m.,samara,gallia belgica,gallia belgica,puteolis,puteolis
,roma,Roma,suevia,Sucia,taurus m.,mons Taurus,augustudunus,Agustudunus,mesopotamia,Mesopotamia,danubius fl.,Danubius Fluvius,wigorna,wigorna,scythie m.,montes scythie,atlas m.,mons mons athlas,aurelianis,aurelianum
,saale,Ala,gothia,Gotia,libani m.,mons Libanus,aulon cilicus,Aulon Cilicus,babilonia r.,Babilonia,calearsem lacus,Lacus Calearsem,taurus m.,mons Taurus,immatius m.,immatius,sicilia,sicilia,sirmium,sirinum
,phison,Phison,bulgaria,Bulgaria,sina m.,mons Synai,aulona,Aulona,chaldea,Chaldea,eraclea in africa,Aniclea,campania,campania,caucasus m.,caucasus,histria,histria,beritus,beritus
,danubius fl.,Danubius,wandalia r.,Wandalia,ararat m.,Ararath montes Armenie,aureus m.,Aurei,aracusia,Aracusia,eraclea in asia minor,Aniclea,londonia,londonium,parapanisades m.,parapanisades,hibernia,hibernia,tudertina,tudertina
,volga fl.,Olcus ,germania,Germania,caucasus m.,mons Caucasus,aurelianis,Aurelianis,assiria,Assiria,malva fl.,Fluvius Malva,libia,libia,taurus m.,taurus,fernus fl.,fernus fl.,meotides paludes,paludes
,suevus m.,Mons Suevus,pannonia,Pannonia,acrocerauni m.,Acrocerauni,auseium,Auseium,parthia r.,Parthia,gentes xliii,Gentes XL III,saxonia,saxonia,oscobares m.,oscobares,amorrei,amorrei,carnotum,carinicum
,hibernia,Ibernia,moesia,Messia,ariobaranes m.,Ariobarzanes,australis o.,Australis,media r.,Media,pentapolis,Pentapolis,campes i.,campes insula,parthau m.,partau,albania,albania,sobas,sobas
,britannia,Britannia,gallia belgica,Gallia Bellica,memarmoli m.,Memarmoli,austria,Austria,persia,Persida,ethiopes g.,Ethiopes,auster v.,auster,memarmoli m.,memarmoli,cartago,katago,tubalus,tubalus
,cornubia,Cornubia,britannia,Britannia Maior,oscobares m.,Oscobares,autisiodorum,Authisiodorus,carsinia,Carsinia,ypanis fl.,Flumen Ypanis,turringia,turringia,ariobaranes m.,ariobarranes,nubie m.,montes nibie,vivencium,vivencium
,wallia,Walni,belgis c.,Ciuitas Belgis,timavus m.,Timauus,axona fl.,Axona,ophir,Ofir,egyptus superior,Egiptus Superior,norwegia,nortwegia,acrocerauni m.,acroceraunus,albatia i.,albatia,lampsacus,lamascus
,scotia,Scocia,hibernia,Hybernia,caspie p.,Porte Caspie,aves,Aves fulgore perspicue,india,India,gangines ethiopes,Gangines Ethiopes,tracia r.,thrace,parchoatras m.,parchoatra,templum jovis,templum iovis,colestria,Colcestria
,nathabres,Mathabres,scotia,Scotia,bactria c.,Bactriani,azotus,Azotus,egyptus superior,Superior Egyptus,septem montes,VII Montes,riphei m.,montes riphei,borea,borea,galicia,galicia,bizas i.,bises
,zeugis r.,Zeugis,norwegia,Norwegia,india,India que finem facit,babilon c.,Babilon,egyptus inferior,Egiptus inferior,nilus,Flumen Nilus,wintland,witland,riphei m.,riphei montes,frisones g.,fresones,scythia,scythia
,getulia,Getulia,libia,Libia,cathmorum,Cathmorum gens optima,babilonia r.,Babilonia,alexandria in egyptus c.,Alexandria,egyptus inferior,Egiptus Interior,chaldea,caldea,ararat m.,arath,terracona i.,terraconta insula,gallipolis,callipolis
,ethiopia,Ethiopia,cirene,Cirene,enoch,c. Enoch,bactria r.,Bactria,babilon c.,Babilon,cumri?_camri?,Cumri_Camri?,ciophegi,ciophegi,libani m.,libanus,pannonia,pannonia,flaminia,flammin
,egyptus,Egyptus,ethiopia ulterior,Ethiopia ulteriore,columpne alexandri,columpne Alexandri,bactria c.,Bactriani,meroe i.,Meroen,neptalim,Neptalim,circius v.,circius,arabia,arabia,paradisus,paradisius,cotonia,cotonia
,alexandria r.,Prov. Lexandria,saba,Saba,nisa,c. Nisan,bactrus fl.,Bactrus,garamantes,Provinica Garamantum,nilus immergit,Hic arenis Nilus immergitur,deram,deram,niseus m.,niseus,sina m.,mons sina,cunwey,cunwey
,geon fl.,Geon,zeugis r.,Zeugi,polibota,c. Palibotra,bagrada fl.,Bagrada,sirtes maiores,Sirtes maiores,climax m.,Mons Clinax,babel,babel,arabica d.,deserto arabie,cesarea in palestine,cesarea,bithynia,binnia
,mauritania,Mauritania,cartago in africa,Kartago,heriforum,c. Eriforum,baioaria,Baioaria,cirene,Cyrenaica,atlas m.,Mons Athalantis,estalatine,estalatine,fasga m.,mons phasga,pterophoron,apterofon,stripodes,stripodes
,damietta,Damiete,numidia,Numidia,carra,c. Carra,baiogas c.,Baiogas,libia,Lybia,meotides paludes,Meotides Paludes,syon m.,mons syon,scorpion m.,mons scorpion,sefar m.,mons sefar,macedonia,macedonia
,saltabri,Saltabri,hippo c.,Ippone,nineveh,c. Niniue,baleares i.,Baleares,getulia,Getulia,tanais fl.,Tanae Flumen,parisius,parisius,sina m.,mons syna,africa,affrica,islandia,ysland
